,Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado
2017-3,7561119.254816654,340068.5558798035,12.111234206959049,5724095.28096528
2017-4,7561546.412326602,340100.1548610331,12.109109576349445,5724334.209155958
2017-5,7561973.569836549,340131.7538422626,12.106984945739839,5724573.137346636
2017-6,7562400.727346497,340163.35282349214,12.104860315130235,5724812.065537314
2017-7,7562827.884856444,340194.95180472167,12.102735684520631,5725050.993727991
2017-8,7563255.042366391,340226.5507859512,12.100611053911026,5725289.92191867
2017-9,7563682.199876338,340258.14976718073,12.098486423301422,5725528.850109348
2017-10,7564109.357386285,340289.74874841026,12.096361792691816,5725767.7783000255
2017-11,7564536.514896234,340321.34772963985,12.094237162082212,5726006.706490704
2017-12,7564963.672406181,340352.9467108694,12.092112531472607,5726245.634681381
2018-1,7565390.829916128,340384.5456920989,12.089987900863003,5726484.56287206
2018-2,7561563.834834591,340367.06851024897,12.088976012714326,5725357.605474107
2018-3,7557736.839753052,340349.591328399,12.08796412456565,5724230.648076153
2018-4,7553909.844671515,340332.1141465491,12.086952236416973,5723103.6906782
2018-5,7550082.849589977,340314.63696469914,12.085940348268297,5721976.733280247
2018-6,7546255.854508439,340297.1597828492,12.08492846011962,5720849.775882294
2018-7,7542428.859426902,340279.68260099925,12.083916571970944,5719722.818484341
2018-8,7538601.864345364,340262.20541914925,12.082904683822267,5718595.861086387
2018-9,7534774.869263826,340244.7282372993,12.08189279567359,5717468.9036884345
2018-10,7530947.874182289,340227.25105544936,12.080880907524914,5716341.946290482
2018-11,7527120.879100751,340209.7738735994,12.079869019376238,5715214.988892528
2018-12,7523293.884019213,340192.2966917495,12.078857131227561,5714088.031494575
2019-1,7519466.888937675,340174.81950989953,12.077845243078885,5712961.074096622
2019-2,7511838.138462212,340224.96662187984,12.077874559128276,5710960.623954084
2019-3,7504209.3879867485,340275.1137338601,12.077903875177665,5708960.1738115465
2019-4,7496580.637511285,340325.2608458404,12.077933191227054,5706959.723669008
2019-5,7488951.887035821,340375.40795782063,12.077962507276444,5704959.27352647
2019-6,7481323.136560357,340425.55506980093,12.077991823325835,5702958.823383933
2019-7,7473694.386084894,340475.7021817812,12.078021139375224,5700958.373241395
2019-8,7466065.63560943,340525.8492937615,12.078050455424613,5698957.923098857
2019-9,7458436.885133967,340575.9964057418,12.078079771474004,5696957.472956319
2019-10,7450808.134658502,340626.143517722,12.078109087523394,5694957.022813781
2019-11,7443179.384183039,340676.29062970233,12.078138403572783,5692956.572671243
2019-12,7435550.6337075755,340726.4377416826,12.078167719622172,5690956.122528706
2020-1,7427921.883232112,340776.5848536629,12.078197035671563,5688955.672386168
2020-2,7413312.809356966,340765.3187119966,12.079673040391288,5685158.052217083
2020-3,7398703.735481819,340754.0525703303,12.081149045111014,5681360.4320479985
2020-4,7384094.661606673,340742.78642866405,12.082625049830739,5677562.811878913
2020-5,7369485.587731527,340731.5202869978,12.084101054550462,5673765.191709829
2020-6,7354876.513856381,340720.2541453315,12.085577059270188,5669967.571540744
2020-7,7340267.439981235,340708.98800366523,12.087053063989913,5666169.951371659
2020-8,7325658.366106088,340697.7218619989,12.088529068709638,5662372.331202574
2020-9,7311049.292230942,340686.4557203326,12.090005073429364,5658574.71103349
2020-10,7296440.218355796,340675.18957866635,12.091481078149087,5654777.090864405
2020-11,7281831.144480649,340663.9234370001,12.092957082868812,5650979.4706953205
2020-12,7267222.070605503,340652.6572953338,12.094433087588538,5647181.850526235
2021-1,7252612.996730357,340641.39115366753,12.095909092308263,5643384.230357151
2021-2,7235049.333636195,340608.8691218932,12.09752262373314,5638730.794031533
2021-3,7217485.670542033,340576.34709011886,12.099136155158014,5634077.357705917
2021-4,7199922.007447872,340543.8250583445,12.10074968658289,5629423.9213803
2021-5,7182358.34435371,340511.3030265702,12.102363218007767,5624770.485054683
2021-6,7164794.681259548,340478.78099479584,12.103976749432643,5620117.048729067
2021-7,7147231.018165386,340446.2589630215,12.10559028085752,5615463.61240345
2021-8,7129667.355071224,340413.7369312472,12.107203812282394,5610810.1760778325
2021-9,7112103.691977062,340381.21489947283,12.10881734370727,5606156.739752216
2021-10,7094540.0288829,340348.6928676985,12.110430875132147,5601503.303426599
2021-11,7076976.365788739,340316.17083592416,12.112044406557022,5596849.867100982
2021-12,7059412.702694577,340283.6488041498,12.113657937981898,5592196.430775366
2022-1,7041849.039600415,340251.1267723755,12.115271469406775,5587542.994449749
