data,Espirito_Santo - PIB - Per Capita,Espirito_Santo - PIB - Preços de Mercado,Espirito_Santo - PIB - Estadual,Espirito_Santo - PIB - Construção Civil,Espirito_Santo - População,Espirito_Santo - INCC (%),Espirito_Santo - IPCA - Variação mensal durante o Plano Real (%),Espirito_Santo - IGP-DI,Espirito_Santo - Taxa Selic (%),Espirito_Santo - IDH - Longevidade,Espirito_Santo - IDH - Renda,Espirito_Santo - IDH - Educação,Espirito_Santo - NFSP - Fluxo Mensal (Milhões de reais),Espirito_Santo - Estoque liquido de capital fixo - (R$),Espirito_Santo - Desemprego,Espirito_Santo - Produção de Cimento (t),Espirito_Santo - Valor,Espirito_Santo - Consumo de Cimento (t)
2009-03-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,0.27,1.03,-0.13,0.047314,0.777,0.687,0.491,0.87,6773699.30541316,6.2384633772,-1.0,0.34,94575.0
2009-04-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,-0.25,1.23,-0.84,0.04392790909,0.777,0.687,0.491,0.82,6773699.30541316,6.2384633772,142470.0,0.34,87976.0
2009-05-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,-0.04,1.72,0.04,0.04181185,0.777,0.687,0.491,0.67,6773699.30541316,6.2384633772,174722.0,0.33,91047.0
2009-06-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,1.39,2.2,0.18,0.0384042,0.777,0.687,0.491,0.55,6773699.30541316,6.2384633772,26126.0,0.326,96520.0
2009-07-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,0.7,2.57,-0.32,0.03616333333,0.777,0.687,0.491,0.38,6773699.30541316,6.2384633772,75782.0,0.33,106519.0
2009-08-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,0.26,2.81,-0.64,0.03422486957,0.777,0.687,0.491,0.19,6773699.30541316,6.2384633772,103555.0,0.326,97899.0
2009-09-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,-0.05,2.97,0.09,0.032927,0.777,0.687,0.491,0.02,6773699.30541316,6.2384633772,67653.0,0.33,104902.0
2009-10-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,0.15,3.21,0.25,0.032927,0.777,0.687,0.491,0.04,6773699.30541316,6.2384633772,287559.0,0.327,93831.0
2009-11-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,0.06,3.5,-0.04,0.032927,0.777,0.687,0.491,0.0,6773699.30541316,6.2384633772,165985.0,0.32,100697.0
2009-12-01,5531344.082966625,4753939.0611061165,1.6015955552416663,3012120.61645212,3453648.0,0.29,3.93,0.07,0.032927,0.777,0.687,0.491,-0.07,6773699.30541316,6.2384633772,29210.0,0.32,91233.0
2010-01-01,5053022.1544968,4660456.163818267,1.4490203038333334,4228558.0020198,3487199.0,0.1,4.31,-0.11,0.03292531818,0.777,0.687,0.491,-0.06,6773699.30541316,8.4774788927,671077.0,0.3248,94941.0
2010-02-01,5053022.1544968,4660456.163818267,1.4490203038333334,4228558.0020198,3487199.0,0.64,0.75,1.01,0.03292515,0.777,0.687,0.491,-0.02,6930862.75002851,8.4774788927,-1.0,0.33,87115.0
2010-03-01,5053022.1544968,4660456.163818267,1.4490203038333334,4228558.0020198,3487199.0,0.36,1.54,1.09,0.032927,0.777,0.687,0.491,0.08,6930862.75002851,8.4774788927,-1.0,0.33,101674.0
2010-04-01,5053022.1544968,4660456.163818267,1.4490203038333334,4228558.0020198,3487199.0,0.75,2.06,0.63,0.032927,0.777,0.687,0.491,0.18,6930862.75002851,8.4774788927,137353.0,0.3248,97169.0
2010-05-01,5053022.1544968,4660456.163818267,1.4490203038333334,4228558.0020198,3487199.0,0.84,2.65,0.72,0.0331908,0.777,0.687,0.491,0.29,6930862.75002851,8.4774788927,196966.0,0.33,93959.0
2010-06-01,5053022.1544968,4660456.163818267,1.4490203038333334,4228558.0020198,3487199.0,1.81,3.09,1.57,0.03565185714,0.777,0.687,0.491,0.43,6930862.75002851,8.4774788927,38086.0,0.332,99981.0
2010-07-01,5053022.1544968,4660456.163818267,1.4490203038333334,4228558.0020198,3487199.0,1.09,3.09,0.34,0.0376,0.777,0.687,0.491,0.6,6930862.75002851,8.4774788927,72996.0,0.3303999999999999,107528.0
2010-08-01,5053022.1544968,4660456.163818267,1.4490203038333334,4228558.0020198,3487199.0,0.44,3.1,0.22,0.03897777273,0.777,0.687,0.491,0.67,6930862.75002851,8.4774788927,168168.0,0.332,116636.0
