,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado
2014-12,408736203.1482372,17626147.73171751,21.880115153075142,347504168.9918147
2015-1,408835820.86976206,17600070.413292862,21.869609853750596,347361767.54732764
2015-2,408958496.443969,17584046.494667634,21.86577679396331,347319695.25661165
2015-3,409081172.018176,17568022.576042406,21.861943734176027,347277622.9658957
2015-4,409203847.59238297,17551998.657417182,21.85811067438874,347235550.6751797
2015-5,409326523.1665899,17535974.738791954,21.854277614601457,347193478.3844637
2015-6,409449198.7407969,17519950.820166726,21.85044455481417,347151406.0937478
2015-7,409571874.3150039,17503926.9015415,21.846611495026885,347109333.8030318
2015-8,409694549.8892108,17487902.982916273,21.8427784352396,347067261.5123158
2015-9,409817225.4634178,17471879.064291045,21.838945375452315,347025189.2215999
2015-10,409939901.0376248,17455855.145665817,21.835112315665032,346983116.9308839
2015-11,410062576.6118317,17439831.22704059,21.831279255877746,346941044.6401679
2015-12,410185252.18603873,17423807.308415364,21.827446196090463,346898972.34945196
2016-1,410307927.7602457,17407783.389790136,21.823613136303177,346856900.05873597
2016-2,410435440.86013204,17398189.44773239,21.8260912842787,346909638.2882086
2016-3,410562953.96001834,17388595.505674645,21.828569432254223,346962376.51768124
2016-4,410690467.0599047,17379001.5636169,21.831047580229747,347015114.7471539
2016-5,410817980.159791,17369407.621559154,21.83352572820527,347067852.97662646
2016-6,410945493.25967735,17359813.679501407,21.836003876180794,347120591.2060991
2016-7,411073006.3595637,17350219.737443663,21.838482024156317,347173329.43557173
2016-8,411200519.45945,17340625.79538592,21.84096017213184,347226067.66504437
2016-9,411328032.55933636,17331031.853328172,21.843438320107364,347278805.894517
2016-10,411455545.65922266,17321437.911270425,21.845916468082887,347331544.1239896
2016-11,411583058.759109,17311843.96921268,21.84839461605841,347384282.3534622
2016-12,411710571.8589953,17302250.027154937,21.850872764033934,347437020.58293486
2017-1,411838084.9588817,17292656.08509719,21.853350912009457,347489758.8124075
2017-2,411868364.08678854,17293871.524619717,21.85622778059686,347539308.1663327
2017-3,411898643.21469545,17295086.96414224,21.859104649184264,347588857.5202579
2017-4,411928922.3426023,17296302.403664768,21.861981517771667,347638406.8741831
2017-5,411959201.47050923,17297517.843187295,21.86485838635907,347687956.2281083
2017-6,411989480.5984161,17298733.282709822,21.867735254946474,347737505.5820335
2017-7,412019759.726323,17299948.72223235,21.87061212353388,347787054.93595874
2017-8,412050038.85422987,17301164.161754873,21.873488992121285,347836604.2898839
2017-9,412080317.9821367,17302379.6012774,21.876365860708688,347886153.64380914
2017-10,412110597.11004364,17303595.040799927,21.87924272929609,347935702.9977343
2017-11,412140876.2379505,17304810.48032245,21.882119597883495,347985252.35165954
2017-12,412171155.3658574,17306025.919844978,21.8849964664709,348034801.7055847
2018-1,412201434.4937643,17307241.359367505,21.887873335058302,348084351.05950993
2018-2,411980676.7966445,17311540.609536815,21.887580976194855,348058730.8453028
2018-3,411759919.09952474,17315839.859706126,21.887288617331407,348033110.63109565
2018-4,411539161.40240496,17320139.109875433,21.886996258467956,348007490.41688854
2018-5,411318403.7052852,17324438.360044744,21.88670389960451,347981870.2026814
2018-6,411097646.0081654,17328737.610214055,21.88641154074106,347956249.98847425
2018-7,410876888.31104565,17333036.86038336,21.88611918187761,347930629.77426714
2018-8,410656130.61392593,17337336.110552672,21.885826823014163,347905009.56006
2018-9,410435372.91680616,17341635.360721983,21.885534464150716,347879389.34585285
2018-10,410214615.2196864,17345934.610891294,21.88524210528727,347853769.13164574
2018-11,409993857.5225666,17350233.861060604,21.88494974642382,347828148.9174386
2018-12,409773099.82544684,17354533.11122991,21.88465738756037,347802528.70323145
2019-1,409552342.1283271,17358832.361399222,21.884365028696923,347776908.48902434
2019-2,409157743.5214955,17368602.14266021,21.883941228142124,347733917.62969875
2019-3,408763144.914664,17378371.9239212,21.88351742758732,347690926.77037317
2019-4,408368546.30783236,17388141.70518219,21.883093627032522,347647935.9110476
2019-5,407973947.7010008,17397911.48644318,21.88266982647772,347604945.05172193
2019-6,407579349.09416926,17407681.26770417,21.88224602592292,347561954.19239634
2019-7,407184750.4873377,17417451.048965156,21.88182222536812,347518963.33307076
2019-8,406790151.88050616,17427220.830226146,21.88139842481332,347475972.47374517
2019-9,406395553.2736746,17436990.611487135,21.88097462425852,347432981.6144196
2019-10,406000954.66684306,17446760.392748125,21.880550823703718,347389990.75509393
2019-11,405606356.06001145,17456530.174009115,21.88012702314892,347346999.89576834
2019-12,405211757.4531799,17466299.955270104,21.879703222594117,347304009.03644276
2020-1,404817158.84634835,17476069.736531094,21.879279422039318,347261018.17711717
2020-2,404348014.17779315,17489148.47977411,21.884257081184042,347292450.7783244
2020-3,403878869.509238,17502227.223017123,21.889234740328767,347323883.3795317
2020-4,403409724.84068286,17515305.966260135,21.894212399473492,347355315.98073894
2020-5,402940580.17212766,17528384.70950315,21.899190058618217,347386748.5819462
2020-6,402471435.50357246,17541463.452746168,21.90416771776294,347418181.18315345
2020-7,402002290.8350173,17554542.19598918,21.909145376907667,347449613.78436077
2020-8,401533146.1664622,17567620.939232193,21.914123036052388,347481046.385568
2020-9,401064001.497907,17580699.68247521,21.919100695197113,347512478.9867753
2020-10,400594856.8293518,17593778.425718226,21.924078354341837,347543911.58798254
2020-11,400125712.16079664,17606857.168961238,21.929056013486562,347575344.1891898
2020-12,399656567.4922415,17619935.91220425,21.934033672631287,347606776.79039705
2021-1,399187422.8236863,17633014.655447267,21.939011331776012,347638209.3916043
2021-2,398611580.28722256,17648556.652924072,21.944702055936617,347668921.54675734
2021-3,398035737.7507589,17664098.650400873,21.950392780097225,347699633.7019104
2021-4,397459895.21429515,17679640.64787768,21.95608350425783,347730345.8570634
2021-5,396884052.6778315,17695182.64535448,21.961774228418438,347761058.01221645
2021-6,396308210.14136773,17710724.642831285,21.967464952579043,347791770.1673695
2021-7,395732367.60490406,17726266.64030809,21.97315567673965,347822482.3225225
2021-8,395156525.0684403,17741808.63778489,21.978846400900256,347853194.4776755
2021-9,394580682.5319766,17757350.635261696,21.98453712506086,347883906.63282853
2021-10,394004839.9955129,17772892.632738497,21.99022784922147,347914618.78798157
2021-11,393428997.45904917,17788434.630215302,21.995918573382074,347945330.9431346
2021-12,392853154.9225855,17803976.627692103,22.001609297542682,347976043.09828764
2022-1,392277312.38612175,17819518.62516891,22.007300021703287,348006755.2534407
