State,Date,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
Santa Catarina,2011-03,2.18153846153846,1014.9648521505376,1150.3879093198993,23.13057795698925,19.479032258064514,80.64112903225806,1.9943548387096774,2011
Santa Catarina,2011-04,1.4833333333333336,1015.2949305555555,1222.5468664850146,22.016041666666666,17.871458333333333,78.33194444444445,1.5838194444444442,2011
Santa Catarina,2011-05,1.6939393939393945,1018.372311827957,954.8183060109296,19.241935483870968,14.60611559139785,75.77217741935483,1.7430107526881722,2011
Santa Catarina,2011-06,1.2641791044776072,1017.6674305555556,836.7470059880238,16.509305555555553,12.18423611111111,77.33680555555556,1.524652777777778,2011
Santa Catarina,2011-07,1.4617021276595752,1018.8602150537635,792.0637393767701,15.8690188172043,12.903629032258063,83.27889784946237,1.8803763440860215,2011
Santa Catarina,2011-08,2.0022222222222203,1018.1034274193548,819.2890957446814,16.687096774193545,12.698185483870969,78.97244623655914,2.229032258064516,2011
Santa Catarina,2011-09,2.3218181818181796,1020.7858333333334,1204.3378306878305,17.171111111111113,13.237916666666665,78.725,2.008611111111111,2011
Santa Catarina,2011-10,1.1285714285714294,1014.3846774193548,1300.119953051643,20.656989247311827,16.64717741935484,78.47446236559139,2.0868279569892474,2011
Santa Catarina,2011-11,1.1035294117647065,1015.1723611111111,1444.1851063829788,21.26013888888889,16.362916666666667,74.56111111111112,2.0212499999999998,2011
Santa Catarina,2011-12,2.262162162162165,1011.6246639784946,1414.6626349891997,22.961827956989247,18.09899193548387,75.57862903225806,1.9743279569892473,2011
Santa Catarina,2012-01,3.247916666666667,1012.2922043010753,1397.2070512820521,24.21344086021505,19.787903225806453,77.17204301075269,1.8853494623655915,2012
Santa Catarina,2012-02,1.2610169491525425,1012.0719827586206,1541.7094871794886,25.89102011494253,21.54719827586207,77.67385057471265,1.6150862068965517,2012
Santa Catarina,2012-03,3.011428571428569,1014.2439516129032,1585.5995073891609,24.10645161290323,18.681384408602153,73.0013440860215,1.6497983870967738,2012
Santa Catarina,2012-04,1.1166666666666665,1014.6490277777779,1109.2027397260276,21.909861111111113,17.688194444444445,77.86944444444444,1.4301388888888888,2012
Santa Catarina,2012-05,1.6666666666666667,1018.9962365591397,1055.5909604519777,19.738844086021505,15.802688172043013,79.13844086021506,1.2108870967741936,2012
