,Mato Grosso do Sul - PIB - Estadual,Mato Grosso do Sul - PIB - Construção Civil,Mato Grosso do Sul - PIB - Per Capita,Mato Grosso do Sul - PIB - Preços de Mercado
2011-10,53151215.78083819,2290283.030395242,16.869086973071013,42053163.692982376
2011-11,53252147.86985323,2289772.7558604893,16.875318555394735,42081115.4451424
2011-12,53353079.958868265,2289262.481325737,16.881550137718452,42109067.19730244
2012-1,53454012.04788331,2288752.2067909846,16.887781720042174,42137018.94946247
2012-2,53543638.78691736,2287897.3199144755,16.89218218088011,42159685.95520319
2012-3,53633265.52595141,2287042.4330379665,16.896582641718048,42182352.960943915
2012-4,53722892.26498546,2286187.5461614574,16.900983102555983,42205019.96668464
2012-5,53812519.004019514,2285332.6592849484,16.90538356339392,42227686.97242536
2012-6,53902145.74305356,2284477.7724084393,16.909784024231858,42250353.97816607
2012-7,53991772.48208761,2283622.8855319303,16.914184485069793,42273020.9839068
2012-8,54081399.22112166,2282767.9986554207,16.918584945907728,42295687.98964752
2012-9,54171025.96015571,2281913.1117789117,16.922985406745667,42318354.99538824
2012-10,54260652.69918977,2281058.2249024026,16.927385867583602,42341022.00112896
2012-11,54350279.43822382,2280203.3380258936,16.931786328421538,42363689.00686968
2012-12,54439906.177257866,2279348.4511493845,16.936186789259477,42386356.012610406
2013-1,54529532.916291915,2278493.5642728754,16.940587250097412,42409023.01835112
2013-2,54605292.09248402,2278351.9031189797,16.944312236387308,42426017.216562934
2013-3,54681051.268676125,2278210.2419650834,16.948037222677204,42443011.414774746
2013-4,54756810.44486824,2278068.5808111876,16.9517622089671,42460005.612986565
2013-5,54832569.62106034,2277926.919657292,16.955487195256996,42476999.811198376
2013-6,54908328.79725245,2277785.258503396,16.959212181546892,42493994.00941019
2013-7,54984087.97344455,2277643.5973495003,16.96293716783679,42510988.207622
2013-8,55059847.149636656,2277501.936195604,16.966662154126688,42527982.40583381
2013-9,55135606.32582876,2277360.2750417083,16.970387140416584,42544976.60404562
2013-10,55211365.502020866,2277218.6138878125,16.97411212670648,42561970.80225743
2013-11,55287124.67821298,2277076.952733916,16.977837112996376,42578965.00046925
2013-12,55362883.85440508,2276935.2915800205,16.981562099286272,42595959.198681064
2014-1,55438643.03059719,2276793.6304261247,16.985287085576168,42612953.396892875
2014-2,55491630.59300884,2275962.09167349,16.986013545891662,42620376.180194825
2014-3,55544618.15542048,2275130.5529208556,16.986740006207157,42627798.963496774
2014-4,55597605.71783213,2274299.014168221,16.98746646652265,42635221.746798724
2014-5,55650593.28024378,2273467.4754155865,16.988192926838146,42642644.530100666
2014-6,55703580.84265543,2272635.936662952,16.98891938715364,42650067.313402615
2014-7,55756568.40506707,2271804.3979103174,16.989645847469134,42657490.096704565
2014-8,55809555.96747872,2270972.859157683,16.99037230778463,42664912.880006514
2014-9,55862543.52989037,2270141.3204050483,16.991098768100123,42672335.663308464
2014-10,55915531.09230202,2269309.781652414,16.991825228415617,42679758.446610406
2014-11,55968518.65471367,2268478.242899779,16.992551688731112,42687181.229912356
2014-12,56021506.21712531,2267646.7041471447,16.993278149046606,42694604.013214305
2015-1,56074493.77953696,2266815.16539451,16.9940046093621,42702026.796516255
2015-2,56115562.76106852,2265553.442721248,16.995648664803177,42709941.53137567
2015-3,56156631.742600076,2264291.7200479857,16.99729272024425,42717856.266235076
2015-4,56197700.72413164,2263029.9973747237,16.998936775685323,42725771.00109449
2015-5,56238769.70566319,2261768.2747014617,17.0005808311264,42733685.735953905
2015-6,56279838.68719475,2260506.552028199,17.002224886567475,42741600.47081331
2015-7,56320907.66872631,2259244.829354937,17.00386894200855,42749515.205672726
2015-8,56361976.65025786,2257983.106681675,17.00551299744962,42757429.94053214
2015-9,56403045.63178942,2256721.3840084127,17.007157052890697,42765344.67539155
2015-10,56444114.61332098,2255459.6613351507,17.008801108331774,42773259.41025096
2015-11,56485183.59485254,2254197.9386618887,17.010445163772847,42781174.145110376
2015-12,56526252.57638409,2252936.2159886262,17.01208921921392,42789088.87996978
2016-1,56567321.55791565,2251674.4933153642,17.013733274654996,42797003.6148292
2016-2,56582125.373331144,2250447.9084105054,17.01388259360325,42798793.1035145
2016-3,56596929.18874663,2249221.3235056465,17.014031912551506,42800582.5921998
2016-4,56611733.00416212,2247994.738600788,17.014181231499762,42802372.080885105
2016-5,56626536.81957761,2246768.1536959293,17.014330550448015,42804161.56957041
2016-6,56641340.634993106,2245541.5687910705,17.01447986939627,42805951.05825571
2016-7,56656144.45040859,2244314.983886212,17.014629188344525,42807740.54694101
2016-8,56670948.26582408,2243088.3989813533,17.01477850729278,42809530.03562632
2016-9,56685752.08123957,2241861.8140764944,17.014927826241035,42811319.524311624
2016-10,56700555.89665507,2240635.2291716356,17.015077145189288,42813109.01299693
2016-11,56715359.712070554,2239408.6442667767,17.015226464137545,42814898.50168223
2016-12,56730163.52748604,2238182.0593619184,17.0153757830858,42816687.99036753
2017-1,56744967.342901535,2236955.4744570595,17.015525102034054,42818477.479052834
2017-2,56742931.823993474,2236714.480108332,17.01509764412425,42816326.30868362
2017-3,56740896.305085406,2236473.485759604,17.014670186214442,42814175.1383144
2017-4,56738860.786177345,2236232.491410876,17.014242728304637,42812023.96794519
2017-5,56736825.26726928,2235991.497062148,17.01381527039483,42809872.79757598
2017-6,56734789.748361215,2235750.5027134204,17.013387812485025,42807721.627206765
2017-7,56732754.229453154,2235509.5083646923,17.01296035457522,42805570.45683755
2017-8,56730718.71054509,2235268.5140159647,17.012532896665412,42803419.286468334
2017-9,56728683.191637024,2235027.519667237,17.012105438755608,42801268.11609912
2017-10,56726647.67272896,2234786.525318509,17.0116779808458,42799116.94572991
2017-11,56724612.1538209,2234545.5309697813,17.011250522935995,42796965.775360696
2017-12,56722576.63491283,2234304.5366210532,17.010823065026187,42794814.60499148
2018-1,56720541.11600477,2234063.5422723256,17.010395607116383,42792663.434622265
2018-2,56680884.13823286,2234057.2509413795,17.00524280553605,42777072.01967707
2018-3,56641227.160460934,2234050.9596104333,17.000090003955716,42761480.60473188
2018-4,56601570.18268902,2234044.6682794867,16.994937202375382,42745889.18978669
2018-5,56561913.2049171,2234038.3769485406,16.98978440079505,42730297.7748415
2018-6,56522256.22714519,2234032.0856175944,16.984631599214715,42714706.35989631
2018-7,56482599.24937327,2234025.794286648,16.979478797634386,42699114.94495112
2018-8,56442942.27160135,2234019.5029557017,16.974325996054052,42683523.530005924
2018-9,56403285.29382943,2234013.2116247555,16.96917319447372,42667932.11506073
2018-10,56363628.31605752,2234006.9202938094,16.964020392893385,42652340.70011555
2018-11,56323971.338285595,2234000.6289628632,16.95886759131305,42636749.285170354
2018-12,56284314.36051368,2233994.3376319166,16.953714789732718,42621157.87022516
2019-1,56244657.382741764,2233988.0463009705,16.948561988152385,42605566.45527997
2019-2,56195761.50412029,2233840.90077551,16.946076187066176,42594394.00739839
2019-3,56146865.62549882,2233693.7552500493,16.943590385979967,42583221.5595168
2019-4,56097969.746877335,2233546.6097245887,16.94110458489376,42572049.11163522
2019-5,56049073.86825586,2233399.4641991286,16.938618783807552,42560876.66375364
2019-6,56000177.98963439,2233252.318673668,16.936132982721343,42549704.21587206
2019-7,55951282.111012906,2233105.1731482074,16.933647181635138,42538531.76799048
2019-8,55902386.23239143,2232958.027622747,16.93116138054893,42527359.3201089
2019-9,55853490.35376996,2232810.882097286,16.92867557946272,42516186.87222731
2019-10,55804594.475148484,2232663.736571826,16.92618977837651,42505014.42434573
2019-11,55755698.59652701,2232516.5910463654,16.9237039772903,42493841.97646415
2019-12,55706802.71790553,2232369.445520905,16.921218176204096,42482669.528582565
2020-1,55657906.839284055,2232222.2999954442,16.918732375117887,42471497.080700986
2020-2,55546860.61224114,2232041.899817858,16.911670726939352,42441460.13023741
2020-3,55435814.38519823,2231861.499640271,16.904609078760817,42411423.17977383
2020-4,55324768.158155315,2231681.0994626842,16.89754743058228,42381386.22931025
2020-5,55213721.9311124,2231500.699285098,16.890485782403744,42351349.27884667
2020-6,55102675.70406949,2231320.2991075115,16.88342413422521,42321312.328383096
2020-7,54991629.477026574,2231139.8989299247,16.876362486046673,42291275.37791951
2020-8,54880583.24998366,2230959.498752338,16.86930083786814,42261238.42745593
2020-9,54769537.02294075,2230779.0985747515,16.862239189689603,42231201.476992354
2020-10,54658490.795897834,2230598.698397165,16.85517754151107,42201164.526528776
2020-11,54547444.56885492,2230418.2982195783,16.84811589333253,42171127.5760652
2020-12,54436398.34181201,2230237.8980419915,16.841054245153995,42141090.62560162
2021-1,54325352.11476909,2230057.497864405,16.83399259697546,42111053.67513804
2021-2,54191775.34396409,2229835.337819688,16.825343625306797,42074391.184672974
2021-3,54058198.5731591,2229613.177774971,16.816694653638134,42037728.69420791
2021-4,53924621.8023541,2229391.0177302537,16.80804568196947,42001066.20374284
2021-5,53791045.031549096,2229168.8576855366,16.799396710300808,41964403.71327777
2021-6,53657468.2607441,2228946.6976408195,16.790747738632145,41927741.222812705
2021-7,53523891.4899391,2228724.537596103,16.782098766963482,41891078.73234764
2021-8,53390314.7191341,2228502.3775513857,16.77344979529482,41854416.24188258
2021-9,53256737.948329106,2228280.2175066685,16.764800823626157,41817753.75141751
2021-10,53123161.177524105,2228058.0574619514,16.756151851957494,41781091.26095244
2021-11,52989584.4067191,2227835.8974172343,16.74750288028883,41744428.770487376
2021-12,52856007.63591411,2227613.737372517,16.738853908620168,41707766.28002231
2022-1,52722430.86510911,2227391.5773278,16.730204936951505,41671103.78955724
