,Santa Catarina - IDH,Santa Catarina - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Santa Catarina - Desemprego,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Santa Catarina - Consumo de Cimento (t),Santa Catarina - Produção de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2015-7,0.8065567244464851,0.4970821015532378,0.5365873701380962,-977.4173895299176,2.494946044886325,0.8325167309078593,0.4787533394551196,196895965.7893657,7826088.139190003,0.5074060266479925,5.7958795533473735,1.771480399442915,1017.0601679538988,942.8864359821148,19.84780535588879,16.519310454678102,82.067541164524,0.9859279175775888,272.333,123.54254565944042,157958239.24345833,6776361.37926939,20.032368161341665,127697634.04556346
2015-8,0.8067313358550431,0.4987730047994522,0.5273742665657696,-1005.6966908148006,2.438647482980156,1.07847370311493,0.471500431076438,196972976.8778193,7824899.251780608,0.5018784506026249,5.796373628143909,1.596360715312655,1016.3381914454028,961.4018101554468,20.20698352683445,16.81883094443597,81.7576931929096,1.2799138313343248,272.333,123.4755128969094,158048847.66569826,6773660.435566755,20.03142024405271,127704277.80182911
2015-9,0.8069059472636012,0.5002241966612323,0.5254036415611213,-1039.1595055245705,2.375528331843324,0.9625157301509716,0.4754222059965265,197049987.9662729,7823710.364371212,0.4892573432807409,5.796867702940445,1.635391110924031,1015.301100627164,955.9221931283,20.749104168868,17.34996643721732,81.71479196921418,1.5200667656830609,272.333,123.2281937759468,158139456.08793816,6770959.491864119,20.03047232676376,127710921.55809478
2015-10,0.8070805586721593,0.5018379738633317,0.5220003499305623,-1243.715598453343,2.3072500360953296,1.138988731876403,0.4476002509116798,197126999.05472648,7822521.476961817,0.4890711871355146,5.797361777736981,1.685499030670084,1014.68743374162,1013.6212051977606,21.728862601840223,18.063880356547084,80.5837262391883,1.7649294549779817,272.333,122.56397877621598,158230064.51017806,6768258.548161482,20.0295244094748,127717565.31436044
2015-11,0.8072551700807173,0.5036209077030643,0.5097139584731153,-1329.2467358809024,2.2426446030768825,1.0384357357644425,0.4263937170455484,197204010.14318004,7821332.589552421,0.4860587480427329,5.797855852533518,1.7895309130531862,1013.8124164382398,1099.658038528778,22.869643966972436,18.945779822903397,79.5114316868481,1.827820346782042,272.333,122.09154533498192,158320672.93241796,6765557.604458847,20.028576492185845,127724209.07062612
2015-12,0.8074297814892755,0.5049593643023836,0.4963303303387326,-1107.7866583101536,2.1904251534185515,1.0724646806663891,0.4149277811632851,197281021.23163363,7820143.702143026,0.4784691485313357,5.798349927330054,2.1284224510141514,1013.721223413663,1162.2497278702,23.59034277024867,19.446416017011128,78.58257507640715,1.8227139298900368,272.333,121.50782104932328,158411281.35465786,6762856.660756212,20.027628574896887,127730852.82689178
2016-1,0.8076043928978336,0.5062558264106621,0.4804030314721972,-3390.8754810096625,2.1483491910676875,1.0732914432300884,0.4151945630880473,197358032.3200872,7818954.81473363,0.4806328467484032,5.7988440021265895,2.185595426338381,1013.7877296898706,1192.1813592172934,23.99333781366148,19.67594785662325,77.84650184901692,1.830759146896563,257.9580000000001,120.81501839537113,158501889.77689776,6760155.717053575,20.026680657607933,127737496.58315744
2016-2,0.8075559413288778,0.5077169785203884,0.4582345653383405,-2667.741466194896,2.1171823395135774,0.9886443684835264,0.3840895451802815,197432600.1003621,7817259.857969137,0.4731333880353363,5.776156735712738,2.105559071834855,1014.5778641340906,1143.8259719281623,23.27343949522734,19.051135686895265,78.1463300083319,1.7608047096437642,243.583,120.1608961031889,158559746.84417474,6758480.934015892,20.028420084747097,127755269.47806124
2016-3,0.8075074897599219,0.5097578771334171,0.4382653615092318,-2859.062558346457,2.0931033141951554,1.0384598121784336,0.3756470321164557,197507167.8806371,7815564.901204644,0.4648157232951847,5.753469469298887,1.9367051565375637,1016.0388284737826,1083.6018351993905,21.668298900194248,17.502776562922566,78.25385037609725,1.668655787206386,243.583,119.83576590745196,158617603.9114517,6756806.150978208,20.030159511886257,127773042.37296502
2016-4,0.8074590381909661,0.5115693049987817,0.4301790666375651,-3169.352453991868,2.072428815903636,1.00751001790645,0.3820964756373156,197581735.66091204,7813869.944440151,0.455186748552417,5.730782202885036,1.827845571059962,1017.0041507020331,1027.73095177847,20.20581797866573,16.13866985135538,78.5603843282803,1.653867143167093,243.583,119.51873741534564,158675460.97872868,6755131.367940525,20.03189893902542,127790815.26786882
