,Goiás - Produção de Cimento (t),Goiás - Consumo de Cimento (t),Goiás - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Goiais-03anhão - value,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado,Goiás - Desemprego
2009-11,101.45377107086016,201.328,0.7519860694272733,0.4618168766069392,-9497.345398002251,2.177604887432468,0.7700278820075507,0.5460484315742349,190436505.18272892,7740082.795128002,0.5912075438524862,1.9722444530650587,930.0133795803796,1385.50834439271,24.223466186569148,18.679992312585316,73.7888608621447,1.1720564347143747,0.3196026220469693,102653384.5904193,5798745.543503075,14.23396884219577,86522679.01727237,7.938960597890177
2009-12,102.08278303916632,173.056,0.7520368093294966,0.4644167127850657,-9190.300907588446,2.124224012723041,0.6898760251950916,0.5427257627326397,190596152.09136447,7744033.696371524,0.5870573500038764,1.9705179260575,930.0183427797314,1385.8536359204386,24.264439650147004,18.97529340966577,74.70464873523179,1.1724741609085247,0.3206659142206201,102867339.70284566,5802855.626850056,14.237640704302242,86578737.25976267,7.935940971535896
2010-1,102.88478839968649,183.135,0.7520875492317198,0.4691088914703447,-9688.588371030834,2.0799573598611705,0.7984149643257024,0.5528867394615864,190755799.0,7747984.597615046,0.6027048817569469,2.20331642876214,930.2870877911396,1440.2338429335864,24.26017573413485,18.69000662690652,73.65343650563854,1.1674393749523444,0.3217898194959375,103081294.815272,5806965.710197036,14.241312566408716,86634795.50225297,7.932921345181615
2010-2,103.91055008215844,176.275,0.7521287070156086,0.4638866746250542,-9576.958631035535,2.030863470139216,0.6340516025801447,0.5359195328522104,190858600.18802968,7751204.361214897,0.5955700194878013,1.9849645603812132,930.699343910496,1450.2440167910336,23.92848700225821,17.944205459213283,72.21175102327469,1.187394336737141,0.3228144793713424,103278982.22050704,5806279.741140133,14.24443860517644,86680888.15912041,7.931979485675408
2010-3,105.53524353557071,217.929,0.7521698647994974,0.4529411903376403,-9737.230041667011,1.9872203448387613,0.8247337983618206,0.5269652285318539,190961401.3760593,7754424.124814747,0.5982752954789717,2.277022171185925,931.711257465592,1421.6505313897123,23.2690965518918,16.70881952551161,70.29027614833409,1.2048419848719123,0.3238482234071724,103476669.6257421,5805593.772083228,14.247564643944164,86726980.81598787,7.9310376261692
2010-4,106.446530319486,196.222,0.7522110225833862,0.455830055988475,-10059.393149424635,1.938766300428007,0.7324555326526557,0.5365275225694347,191064202.56408903,7757643.888414597,0.5978042087664871,2.360346225646277,932.7342084114983,1443.8697577965663,22.790153528638747,14.984672718712323,65.90830740704148,1.3217355449772812,0.3249513967793176,103674357.03097712,5804907.803026325,14.250690682711884,86773073.47285531,7.930095766662992
2010-5,107.85759824957508,216.849,0.752252180367275,0.4519925678913392,-9786.943488370514,1.900423502203311,0.8264367733604508,0.5422255150798765,191167003.7521188,7760863.652014448,0.6184467692784309,2.004466591442683,933.4184623301262,1455.1519009556068,22.469306782436288,13.068932493220164,60.82741722859366,1.4068090889798197,0.3257753901695549,103872044.43621217,5804221.833969422,14.253816721479607,86819166.12972276,7.929153907156784
2010-6,108.55886288372086,224.206,0.7522933381511638,0.4452546601697086,-9905.786117325402,1.8856666637377413,0.7835509006430283,0.526058037576734,191269804.9401484,7764083.415614299,0.5958291622572781,3.794766997655093,933.6895844699508,1501.3652337147423,22.90469623131989,11.564344406936458,55.10646977405397,1.545308111445619,0.3265806724164757,104069731.84144722,5803535.864912518,14.25694276024733,86865258.78659022,7.928212047650576
2010-7,109.84905037782832,247.363,0.7523344959350526,0.4546156103614938,-10012.607609861,1.8938061232400991,0.6956631681759645,0.5522966590697518,191372606.1281781,7767303.179214149,0.5865859204975183,3.384997736599871,933.2450975187044,1517.903722935779,23.530716359615045,11.673888796039137,53.50544213533192,1.6151314853903525,0.3273278233053028,104267419.24668226,5802849.895855615,14.260068799015052,86911351.44345766,7.927270188144369
2010-8,111.1282835117392,254.223,0.7523756537189413,0.4638587019783974,-10127.16701415496,1.9055306692046643,0.8448625278586105,0.5776013784579778,191475407.31620777,7770522.942813999,0.5826586136352507,3.51411430339067,932.4799141141526,1510.343329874025,23.920695637568137,12.460534679589664,55.12624696850808,1.5651628306925784,0.3280765100103922,104465106.6519173,5802163.926798711,14.263194837782777,86957444.10032511,7.926328328638161
