,Minas Gerais - IDH,Minas Gerais - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Minas Gerais - value,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Minas Gerais - Produção de Cimento (t),Minas Gerais - Desemprego,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado
2010-10,0.76942866280354,596.227,0.4806927669176689,-9855.109255533838,1.9496834440674369,0.8548584317510831,0.5519922392666898,191681009.69226712,7776962.4700137,0.5851989203903505,0.4804232219927963,2.3247458773096845,887.3140435818885,1186.6512014799207,18.94528095688501,15.151958669780868,80.84306823010856,2.4546354154409644,1182.640571014031,7.987335579986138,326701947.3321305,18505812.29985372,14.434095850671614,284174174.7133889
2010-11,0.7695358780496336,544.711,0.4792117692065355,-9697.432210565865,1.9809369678190991,0.8102428340912935,0.5389303803124353,191783810.88029683,7780182.233613551,0.5889002595704534,0.4814973123839475,2.344600180648168,886.85512447775,1236.69783818006,19.732723380031064,15.821372466831516,80.35563426553317,2.3520497485299114,1185.3824762793624,7.986494395437133,327266469.6150299,18502669.12172216,14.435633146192218,284251072.3129263
2010-12,0.7696430932957271,538.872,0.4797986866964565,-10050.732911371206,2.016086379686157,0.7964293770587095,0.5226303587391766,191886612.0683265,7783401.997213401,0.5859531226578283,0.4822054939116015,2.2659181559639974,886.6297472381893,1229.5016634215704,20.121480942439657,16.44592714735268,81.40628442549516,2.28123776881426,1188.4942629371956,7.985653210888128,327830991.89792925,18499525.943590607,14.437170441712825,284327969.9124636
2011-1,0.7697503085418207,516.59,0.485803381917484,-10517.124472033394,2.035093128055376,0.893395740441149,0.5232972131171288,191989413.25635612,7786621.760813251,0.5868072050415946,0.4830562267255414,1.9303482977095072,887.0979378119126,1240.3867666945966,20.10162262274755,16.547340414277215,81.88618348745375,2.236635379122709,1190.3048702341443,7.984812026339124,328395514.1808286,18496382.76545905,14.438707737233427,284404867.512001
2011-2,0.7698197180713042,558.484,0.4823188015534446,-10136.637212959104,2.0617197249168107,0.9169684528627234,0.5089693151224648,192095145.77648595,7788997.896079644,0.5919181218163453,0.4833716947757815,1.7428686308106542,887.6373804592124,1212.8802640287392,19.54093103277092,16.096527053659948,82.32091423850306,2.3530629077413314,1194.6164393251122,8.075269277773284,328871739.6874795,18487733.554509327,14.437147536617324,284433833.4223299
2011-3,0.7698891276007878,556.002,0.4765888567715217,-10178.562458683811,2.079526018829988,0.8172419431451659,0.4966673062887451,192200878.2966157,7791374.031346036,0.5978188398925539,0.483633369595405,1.5604784094052946,888.1835020620065,1135.4485923038242,18.50294964302628,15.404563593274892,83.79016058384796,2.620568091219402,1200.0151349400344,8.165726529207443,329347965.1941304,18479084.343559604,14.43558733600122,284462799.3326588
2011-4,0.7699585371302713,570.738,0.4724763218727945,-10225.7655016099,2.095742570726438,0.8755603531716446,0.483448023435273,192306610.81674543,7793750.166612428,0.6056625101161331,0.4842536426676267,1.2351458358745624,889.0228633502016,1151.2976051139892,17.73194593973066,14.354904514120925,82.39117899049438,3.0675546234233457,1203.443195315789,8.256183780641603,329824190.7007812,18470435.13260988,14.434027135385117,284491765.2429877
2011-5,0.7700279466597548,676.878,0.4647701832003508,-9993.389038138808,2.1045733049199136,0.9645144336524022,0.4794375297414004,192412343.33687523,7796126.30187882,0.631128227052354,0.4848211603089634,1.1365480443477065,889.538749410203,1163.2542005101498,17.218174923570032,13.34230230411396,80.2966289369093,3.2463834674568317,1207.3804975993294,8.346641032075764,330300416.2074321,18461785.921660155,14.43246693476901,284520731.1533166
2011-6,0.7700973561892384,626.571,0.460777089427583,-9975.112230204764,2.095226448555367,0.8288299944369717,0.4943626052826666,192518075.857005,7798502.437145213,0.5950919575302004,0.4853293618587104,0.9791515969309216,890.0740217795457,1223.4228909142832,17.040467445604314,12.567460417210052,77.88407102644098,3.3370632998355627,1206.511451695344,8.437098283509924,330776641.7140831,18453136.710710432,14.430906734152908,284549697.0636455
2011-7,0.7701667657187219,638.156,0.4586625612219078,-9903.241596764476,2.0859703688695106,0.8811708978486625,0.4999529609128011,192623808.3771348,7800878.572411605,0.5975398841785342,0.485165713799029,0.9395733779030512,889.9798851954154,1248.874709652291,17.283415457339732,12.579009041827517,77.02936724430243,3.238330981719737,1209.4295544049917,8.527555534944083,331252867.22073394,18444487.49976071,14.429346533536805,284578662.9739744
