,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado
2015-1,241011146.07196587,11076859.551921524,18.0312699680029,192664815.58610743
2015-2,241129721.90438512,11071551.899250448,18.03089054071213,192667033.040388
2015-3,241248297.73680437,11066244.246579371,18.03051111342136,192669250.4946685
2015-4,241366873.5692236,11060936.593908295,18.030131686130588,192671467.94894907
2015-5,241485449.40164286,11055628.941237217,18.029752258839814,192673685.4032296
2015-6,241604025.2340621,11050321.28856614,18.029372831549043,192675902.85751015
2015-7,241722601.06648135,11045013.635895064,18.028993404258273,192678120.3117907
2015-8,241841176.8989006,11039705.983223988,18.028613976967502,192680337.76607123
2015-9,241959752.73131984,11034398.330552911,18.028234549676732,192682555.2203518
2015-10,242078328.5637391,11029090.677881833,18.027855122385958,192684772.6746323
2015-11,242196904.39615834,11023783.025210757,18.027475695095188,192686990.12891287
2015-12,242315480.22857758,11018475.37253968,18.027096267804417,192689207.5831934
2016-1,242434056.06099683,11013167.719868604,18.026716840513647,192691425.03747395
2016-2,242465384.0739707,11009939.167213736,18.026369624349112,192687187.55425534
2016-3,242496712.08694458,11006710.614558868,18.026022408184573,192682950.07103673
2016-4,242528040.09991848,11003482.061903998,18.02567519202004,192678712.58781815
2016-5,242559368.11289236,11000253.50924913,18.025327975855504,192674475.10459954
2016-6,242590696.12586623,10997024.956594262,18.024980759690965,192670237.62138093
2016-7,242622024.1388401,10993796.403939392,18.02463354352643,192666000.1381623
2016-8,242653352.15181398,10990567.851284524,18.024286327361896,192661762.6549437
2016-9,242684680.16478786,10987339.298629656,18.023939111197357,192657525.1717251
2016-10,242716008.17776173,10984110.745974788,18.023591895032823,192653287.68850648
2016-11,242747336.19073564,10980882.19331992,18.023244678868288,192649050.2052879
2016-12,242778664.2037095,10977653.64066505,18.02289746270375,192644812.7220693
2017-1,242809992.2166834,10974425.088010183,18.022550246539215,192640575.23885068
