,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado
2016-3,76359555.89443022,2835939.3308339845,17.843796370794127,56063308.370978355
2016-4,76382673.42544901,2834980.9176056143,17.843556644018868,56067189.621760204
2016-5,76405790.95646779,2834022.5043772445,17.843316917243612,56071070.872542046
2016-6,76428908.48748657,2833064.0911488743,17.843077190468357,56074952.123323895
2016-7,76452026.01850535,2832105.6779205045,17.8428374636931,56078833.374105744
2016-8,76475143.54952413,2831147.264692134,17.842597736917845,56082714.62488759
2016-9,76498261.0805429,2830188.851463764,17.84235801014259,56086595.87566944
2016-10,76521378.61156169,2829230.438235394,17.842118283367334,56090477.12645128
2016-11,76544496.14258048,2828272.025007024,17.841878556592075,56094358.37723313
2016-12,76567613.67359926,2827313.611778654,17.84163882981682,56098239.62801498
2017-1,76590731.20461804,2826355.198550284,17.841399103041564,56102120.87879683
2017-2,76605302.8755257,2826186.0126399524,17.84280773645216,56108677.75231176
2017-3,76619874.54643336,2826016.8267296203,17.84421636986275,56115234.62582668
2017-4,76634446.21734104,2825847.640819289,17.845625003273344,56121791.49934161
2017-5,76649017.8882487,2825678.4549089572,17.84703363668394,56128348.37285653
2017-6,76663589.55915636,2825509.268998625,17.84844227009453,56134905.246371455
2017-7,76678161.23006402,2825340.0830882937,17.849850903505125,56141462.11988638
2017-8,76692732.90097168,2825170.897177962,17.85125953691572,56148018.993401304
2017-9,76707304.57187934,2825001.71126763,17.85266817032631,56154575.86691623
2017-10,76721876.242787,2824832.5253572986,17.854076803736906,56161132.74043115
2017-11,76736447.91369468,2824663.339446967,17.8554854371475,56167689.61394608
2017-12,76751019.58460234,2824494.153536635,17.85689407055809,56174246.487461
2018-1,76765591.25551,2824324.9676263034,17.858302703968686,56180803.36097593
2018-2,76740115.46317594,2824711.99968517,17.857176598744577,56174361.4086467
2018-3,76714639.67084187,2825099.031744037,17.85605049352047,56167919.45631748
2018-4,76689163.8785078,2825486.0638029035,17.85492438829636,56161477.50398825
2018-5,76663688.08617373,2825873.0958617697,17.85379828307225,56155035.55165902
2018-6,76638212.29383966,2826260.1279206364,17.85267217784814,56148593.59932979
2018-7,76612736.5015056,2826647.159979503,17.851546072624032,56142151.647000566
2018-8,76587260.70917153,2827034.19203837,17.850419967399926,56135709.69467134
2018-9,76561784.91683747,2827421.2240972365,17.849293862175816,56129267.742342114
2018-10,76536309.1245034,2827808.2561561028,17.848167756951707,56122825.79001288
2018-11,76510833.33216932,2828195.2882149694,17.8470416517276,56116383.837683655
2018-12,76485357.53983526,2828582.320273836,17.84591554650349,56109941.88535443
2019-1,76459881.7475012,2828969.352332703,17.84478944127938,56103499.9330252
2019-2,76408638.24473087,2829303.8720108233,17.84404695813113,56094366.156343095
2019-3,76357394.74196057,2829638.391688944,17.84330447498288,56085232.379660994
2019-4,76306151.23919025,2829972.9113670643,17.84256199183463,56076098.602978885
2019-5,76254907.73641995,2830307.4310451844,17.841819508686378,56066964.82629678
2019-6,76203664.23364963,2830641.950723305,17.841077025538127,56057831.04961467
2019-7,76152420.7308793,2830976.4704014254,17.840334542389876,56048697.27293256
2019-8,76101177.228109,2831310.990079546,17.83959205924162,56039563.49625046
2019-9,76049933.72533868,2831645.5097576664,17.83884957609337,56030429.71956835
2019-10,75998690.22256838,2831980.0294357864,17.83810709294512,56021295.94288624
2019-11,75947446.71979806,2832314.549113907,17.837364609796868,56012162.16620414
2019-12,75896203.21702775,2832649.0687920274,17.836622126648617,56003028.38952203
2020-1,75844959.71425743,2832983.588470148,17.835879643500366,55993894.61283992
2020-2,75668506.34035283,2831945.421834221,17.82376225862849,55936446.80687593
2020-3,75492052.96644825,2830907.2551982943,17.81164487375662,55878999.000911936
2020-4,75315599.59254365,2829869.0885623675,17.799527488884745,55821551.194947936
2020-5,75139146.21863905,2828830.9219264407,17.78741010401287,55764103.38898394
2020-6,74962692.84473445,2827792.755290514,17.775292719140996,55706655.58301995
2020-7,74786239.47082984,2826754.588654587,17.76317533426912,55649207.77705595
2020-8,74609786.09692526,2825716.42201866,17.75105794939725,55591759.971091956
2020-9,74433332.72302066,2824678.2553827334,17.738940564525375,55534312.16512796
2020-10,74256879.34911606,2823640.0887468066,17.7268231796535,55476864.35916397
2020-11,74080425.97521147,2822601.92211088,17.71470579478163,55419416.55319998
2020-12,73903972.60130687,2821563.755474953,17.702588409909755,55361968.747235976
2021-1,73727519.22740227,2820525.588839026,17.69047102503788,55304520.94127198
2021-2,73516291.33231544,2819204.9837768534,17.675725734147598,55234857.62612685
2021-3,73305063.43722862,2817884.3787146807,17.660980443257316,55165194.31098171
2021-4,73093835.5421418,2816563.7736525075,17.64623515236703,55095530.99583658
2021-5,72882607.64705497,2815243.1685903347,17.631489861476748,55025867.68069144
2021-6,72671379.75196815,2813922.563528162,17.616744570586466,54956204.36554631
2021-7,72460151.85688132,2812601.9584659887,17.60199927969618,54886541.05040117
2021-8,72248923.96179448,2811281.353403816,17.587253988805898,54816877.73525604
2021-9,72037696.06670766,2809960.7483416433,17.572508697915616,54747214.4201109
2021-10,71826468.17162083,2808640.1432794705,17.557763407025334,54677551.10496577
2021-11,71615240.276534,2807319.5382172978,17.543018116135052,54607887.789820634
2021-12,71404012.38144718,2805998.9331551245,17.528272825244766,54538224.4746755
2022-1,71192784.48636036,2804678.328092952,17.513527534354484,54468561.159530364
