Ano,Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$)
2009-6,281057591.7779747,2589186811.4547634,1646684990.0175204,5725602555.714916,739856740.7725185,867934961.4083725,174733732221.7881,12271424904.950836,223867305383.03552,245383512.44688013,6044610270.789556,6429538865.232228,9773115588.305172,66126915871.62138,76896021729.01715,108481643992.25027,1516153621.9073431,22570390050.646385,24140236481.328835,1.3368519751477272,2.516685779159319,0.9712648592682034,0.5561104288077385,2.8996858188422383,354215595477.2682,1331989332.7722883,0.0,25820776607.302803,75982575260.06992
2009-7,281952782.7246944,2599775455.414866,1666229241.4458864,5754134198.24441,742345753.7931249,869744798.9923192,176305823930.8557,12364529174.60278,226239168166.64465,246753770.16031635,6092931183.387793,6475769927.575274,9791826393.33448,65986842957.060196,77510880251.83035,109631828569.17108,1529469898.5921035,22636700588.371193,24213901119.8059,1.3344152361827517,2.5156190277411192,0.9652099617034388,0.5627085627972757,2.894329414523516,357986725631.43677,1333307579.4883268,0.0,26071378223.21691,76333919865.67165
2009-8,282812307.1413395,2609819579.112988,1686097307.9211054,5781439159.622131,744632924.0120662,871354421.5521841,177913650035.9228,12460558563.669432,228620802559.74292,248424523.978351,6141518025.35575,6522510243.916536,9810949731.764105,65850860089.86297,78147306273.41464,110802416363.34515,1542404165.3829024,22703479699.768993,24287312636.77999,1.3320827415503116,2.514427800821901,0.959499814553647,0.5693855520355239,2.889885386101025,361745594187.1913,1334568168.692648,0.0,26328211724.76739,76713283723.44049
2009-9,283634945.0206194,2619301425.189743,1706291582.4859529,5807476037.611623,746712161.5946989,872758012.7596114,179557601235.9864,12559557217.80768,231011651860.70984,250403442.6987474,6190364111.724409,6569757253.34069,9830490993.903996,65719121205.07147,78805649778.82295,111993544271.11133,1554941955.6225338,22770716895.760536,24360439291.487476,1.3298580304852368,2.5131090267066636,0.9541454170802688,0.5761411946349644,2.886379829449381,365490594201.33276,1335769153.6334898,0.0,26591353242.992634,77121311848.04541
2009-10,284419476.3552434,2628203236.2857447,1726814458.1832037,5832203429.976429,748577376.7063798,873949756.2862457,181238068230.04364,12661569282.674408,233411159367.925,252698195.1192687,6239462757.524753,6617508394.932413,9850455570.0641,65591780237.72747,79486260753.10822,113205349188.80844,1567068802.6537933,22838401687.26658,24433249343.164734,1.3277446422223567,2.511659633700404,0.9491577685447451,0.5829752887080781,2.8838388404432,369220118730.66223,1336908587.5590916,0.0,26860878908.93102,77558649254.1554
2009-11,285164681.1379207,2636507255.041605,1747668328.055632,5855579934.480091,750222479.512465,874923835.8037314,182955441717.09158,12766638903.926502,235818768379.76794,255316450.0376781,6288807277.787765,6665761107.776383,9870848850.554367,65468991122.872734,80189489181.32332,114437968012.77536,1578770239.8194761,22906523585.20787,24505711051.048138,1.3257461159965016,2.510076550108121,0.9445478682085162,0.589887632367346,2.8822885149570987,372932560831.98083,1337984523.7176917,0.0,27136864853.620945,78025940956.4394
2009-12,285869339.3613605,2644195724.097937,1768855585.1460133,5877564148.886154,751641380.1783113,875674434.9837129,184710112396.12738,12874810227.220848,238233922194.61813,258265876.25173888,6338390987.544427,6714512830.957277,9891676225.684744,65350907795.54902,80915685048.52121,115691537639.35089,1590031800.4623766,22975072100.505165,24577792674.37407,1.323865991042501,2.5083567042348123,0.9403267153330231,0.5968780237252491,2.881754948865693,376626313562.0895,1338995015.3575284,0.0,27419387208.100792,78523831969.56644
2010-1,286532231.01827216,2651250886.095355,1790378622.4971223,5898114670.95816,752827988.8692753,876195737.4978347,186502470966.14813,12986127398.214333,240656064110.85522,261554142.55921417,6388207201.825723,6763761003.5597725,9912943085.76518,65237684190.798096,81665198339.75479,116966194964.87387,1600839017.9252899,23044036744.07921,24649462472.378895,1.3221078065951852,2.5064970243854767,0.9365053091797066,0.6039462608942684,2.8822642380436,380299769977.7895,1339938115.7268407,0.0,27708522103.40896,79052967308.20543
2010-2,287152136.1013649,2657654983.6744723,1812239833.1517334,5917190098.459654,753776215.7507133,876481927.017741,188332908126.1509,13100634562.563843,243084637426.85864,265188917.75786743,6438249235.662634,6813503064.668545,9934654821.105625,65129474243.66173,82438379040.077,118262076885.68315,1611177425.5510108,23113407026.85076,24720688704.298996,1.3204751018893837,2.5044944388651116,0.933094649010007,0.6110921419868849,2.883842478365436,383951323135.8819,1340811878.073867,0.0,28004345670.583824,79613991987.02538
2010-3,287727834.603348,2663390259.4759016,1834441610.1526217,5934749029.154177,754479970.987982,876527187.2150764,190201814575.1328,13218375865.92626,245519085441.0081,269177870.64546156,6488510404.086145,6863736453.368273,9956816822.016027,65026431889.18167,83235577134.54073,119579320298.11758,1621032556.682335,23183172459.74057,24791439629.370747,1.3189714161599264,2.5023458759787154,0.9301057340853652,0.6183154651155796,2.8865157657058162,387579366093.16766,1341614355.646846,0.0,28306934040.66378,80207551020.69525
