,Rio de-01eiro - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio De Janeiro - Consumo de Cimento (t),Rio De Janeiro - Produção de Cimento (t),Rio de Janeiro - IDH,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado,Rio de Janeiro - Desemprego
2017-6,0.4401718700089596,0.3679963198646961,-5068.400972271061,2.162820271284532,1.0790560442164825,0.4573226001100615,198622942.14334863,7787506.25315443,0.388570077523086,181.556,194.80595560871848,0.7840007039006294,411989480.5984161,17298733.282709822,21.867735254946474,347737505.5820335,12.665495927066976
2017-7,0.4400798892274405,0.3728976057660844,-5595.499878102875,2.1827530258841654,0.6368105713319717,0.4758652393700967,198696961.4353411,7785284.437073373,0.3783354712469384,185.846,197.6504964067337,0.7839496141480792,412019759.726323,17299948.72223235,21.87061212353388,347787054.93595874,12.652871692821048
2017-8,0.4403863356207775,0.366903937105431,-5783.316459502323,2.20699398468004,0.545066944551691,0.4715205842663207,198770980.72733355,7783062.620992317,0.3781503578714068,200.671,200.66135627630308,0.783898524395529,412050038.85422987,17301164.161754873,21.873488992121285,347836604.2898839,12.640247458575118
2017-9,0.4414208057893117,0.3589351548715466,-6001.730740495946,2.2153275867555475,0.78290954919478,0.4768271180048898,198845000.019326,7780840.8049112605,0.3776661110809737,207.913,201.7586275777099,0.7838474346429789,412080317.9821367,17302379.6012774,21.876365860708688,347886153.64380914,12.62762322432919
2017-10,0.4420633192191031,0.3543133490207389,-6454.887704474953,2.232466347059879,0.909681615738396,0.4754272182499585,198919019.3113184,7778618.988830204,0.3778377185871009,188.107,203.0044279119258,0.7837963448904287,412110597.1100437,17303595.040799927,21.87924272929609,347935702.9977343,12.614998990083262
2017-11,0.4423078457826844,0.3527279000225793,-6243.191420924375,2.263185047283645,1.0506140089810427,0.491301237991556,198993038.60331085,7776397.172749148,0.370057443718766,193.661,204.56304609152124,0.7837452551378785,412140876.2379505,17304810.48032245,21.88211959788349,347985252.35165954,12.602374755837332
2017-12,0.4423921311292976,0.3672792049521601,-5909.074373680363,2.284012403287865,0.571256581329347,0.5118095547455561,199067057.8953033,7774175.356668091,0.3656492538346034,175.783,205.2478419404316,0.7836941653853284,412171155.3658574,17306025.919844978,21.8849964664709,348034801.7055847,12.589750521591403
2018-1,0.4424158678887191,0.359951630964679,-7507.112082157307,2.294901938999484,0.4677947795212472,0.5005214276758065,199141077.18729573,7771953.540587035,0.3696733376163027,185.078,206.2485076592657,0.7836430756327782,412201434.4937643,17307241.359367505,21.887873335058305,348084351.05950993,12.577126287345475
2018-2,0.4427502891620195,0.3566771125869745,-6365.607522997055,2.2942193420185,0.5842783280443261,0.4906301391980058,199211473.5675211,7769100.068513057,0.3678170211034027,146.761,206.96895620260912,0.7834812807512084,411980676.7966445,17311540.609536815,21.88758097619485,348058730.8453028,12.574394517823997
2018-3,0.4431210974236306,0.3495024706940896,-6480.507442523628,2.2880364237022737,0.5418064917506906,0.5232126003004083,199281869.9477465,7766246.596439078,0.3683207687170368,173.121,208.71153505489025,0.7833194858696385,411759919.0995248,17315839.859706126,21.887288617331407,348033110.63109565,12.571662748302517
2018-4,0.4431790154429296,0.3395277178203111,-5470.865705466022,2.2785452626718063,0.5299240735031111,0.515815979242938,199352266.32797185,7763393.124365101,0.3659433206644214,169.841,209.54840375489465,0.7831576909880686,411539161.40240496,17320139.109875433,21.88699625846796,348007490.41688854,12.568930978781038
2018-5,0.4429945519930283,0.3254327923342447,-3673.4527105981465,2.263363965667075,0.5184624540086805,0.52140209156142,199422662.70819715,7760539.652291123,0.3622852915238501,142.706,211.32383125787408,0.7829958961064988,411318403.7052852,17324438.360044744,21.88670389960451,347981870.2026814,12.566199209259558
2018-6,0.4426483075388551,0.3206049076093145,-748.3523814090865,2.2443322394271,0.4924018064984997,0.5229599052733115,199493059.0884225,7757686.180217145,0.3628244523982531,242.422,214.3275530381813,0.7828341012249289,411097646.0081654,17328737.610214055,21.88641154074106,347956249.98847425,12.56346743973808
2018-7,0.4421121528958669,0.3000532519420144,680.1816531338795,2.2152710819180843,0.5175037746548349,0.5428312509061592,199563455.46864787,7754832.708143167,0.3648945585252806,226.205,214.9484631741883,0.782672306343359,410876888.3110457,17333036.86038336,21.88611918187761,347930629.77426714,12.560735670216602
2018-8,0.4417667066842884,0.2957038398442303,2763.919661232488,2.182490373260064,0.5663143037004692,0.6161288722138691,199633851.84887323,7751979.236069188,0.3657658514233124,229.696,215.6093660141394,0.7825105114617892,410656130.61392593,17337336.110552672,21.885826823014163,347905009.56006,12.55800390069512
2018-9,0.4420206109444344,0.308341137605073,4007.361037620176,2.152733596601701,0.541645975717225,0.6740366051135752,199704248.2290986,7749125.763995211,0.3852201759804345,232.624,216.06176262455185,0.7823487165802193,410435372.91680616,17341635.360721983,21.88553446415072,347879389.34585285,12.555272131173645
2018-10,0.4426804848546427,0.3141753154888939,4174.914508493512,2.10797519196202,0.4924006386818098,0.7177542561347128,199774644.60932392,7746272.291921233,0.4151525802856482,234.262,217.18345294781423,0.7821869216986495,410214615.2196864,17345934.610891294,21.88524210528727,347853769.13164574,12.552540361652165
2018-11,0.4433454746549539,0.3212989509448,5007.894545671494,2.054724183351228,0.5213270862341408,0.7723522886923776,199845040.98954928,7743418.819847254,0.4341143590809063,217.727,217.7264241951777,0.7820251268170796,409993857.5225666,17350233.861060604,21.88494974642382,347828148.9174386,12.549808592130685
2018-12,0.4441203039433724,0.3517183793100564,6196.877278409354,2.0126469916832392,0.4659682830233899,0.8188839179929231,199915437.36977464,7740565.347773276,0.4462102421398145,190.769,218.19954271109157,0.7818633319355097,409773099.8254469,17354533.11122991,21.88465738756037,347802528.70323145,12.547076822609204
2019-1,0.4454785906944506,0.3530778978870197,4628.979909058911,1.984242274075146,0.4726719624590187,0.8964654073710557,199985833.75,7737711.875699298,0.4625053223582739,232.609,219.26426631284764,0.7817015370539399,409552342.1283271,17358832.361399222,21.884365028696923,347776908.48902434,12.544345053087726
