,Rio Grande do Sul - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio Grande Do Sul - Produção de Cimento (t),Rio Grande Do Sul - Consumo de Cimento (t),Rio Grande do Sul - PIB - Estadual,Rio Grande do Sul - PIB - Construção Civil,Rio Grande do Sul - PIB - Per Capita,Rio Grande do Sul - PIB - Preços de Mercado,Rio Grande do Sul - value,Rio Grande do Sul - IDH
2016-1,7.674279256316089,0.4804030314721972,-3390.8754810096625,2.1483491910676875,1.101655259880485,0.4151945630880473,197358032.3200872,7818954.81473363,0.4806328467484032,135.13353986933862,256.91600000000017,245502476.00313455,9097791.273444014,18.69401886798146,202812202.8698721,0.5920627435342768,0.784837798885318
2016-2,7.651776131784237,0.4582345653383405,-2667.741466194896,2.1171823395135774,0.998076311715314,0.3840895451802815,197432600.1003621,7817259.857969137,0.4731333880353363,134.1037592315307,243.666,245519799.96005696,9094163.751867931,18.692740510561705,202795195.94146156,0.5919501887518108,0.7848062670586916
2016-3,7.629273007252386,0.4382653615092318,-2859.062558346457,2.0931033141951554,1.050583032622211,0.3756470321164557,197507167.8806371,7815564.901204644,0.4648157232951847,133.22628893202665,243.666,245537123.9169793,9090536.230291847,18.69146215314195,202778189.0130509,0.591797996846714,0.7847747352320652
2016-4,7.606769882720534,0.4301790666375651,-3169.352453991868,2.072428815903636,1.0407778297845294,0.3820964756373156,197581735.66091204,7813869.944440151,0.455186748552417,132.04277715586124,243.666,245554447.87390167,9086908.708715769,18.690183795722195,202761182.0846404,0.5918176241057788,0.7847432034054389
2016-5,7.584266758188682,0.4219991438558282,-2883.308840862046,2.0559185514258647,1.10315093973575,0.4050692196787397,197656303.44118696,7812174.9876756575,0.4458664086781032,130.6954451349733,243.666,245571771.8308241,9083281.187139684,18.68890543830244,202744175.15622985,0.5920126037076316,0.7847116715788125
2016-6,7.561763633656831,0.4276360353070148,-2975.6400740144,2.0383289573688583,1.208212978764004,0.4092639692637682,197730871.2214619,7810480.030911164,0.4613892521739088,130.1365751470483,243.666,245589095.7877465,9079653.665563602,18.687627080882685,202727168.22781923,0.5925863810990707,0.7846801397521861
2016-7,7.539260509124979,0.423174444733437,-3206.2407436979347,2.0315258061610644,1.0298165732903195,0.3812478068283722,197805439.0017368,7808785.074146671,0.4322012065217192,128.65746382389628,243.666,245606419.7446689,9076026.14398752,18.68634872346293,202710161.29940867,0.593346724863814,0.7846486079255597
2016-8,7.516757384593127,0.406476249562938,-3149.757781764285,2.0305724295198666,1.1556768697997215,0.3986499601282697,197880006.78201172,7807090.117382177,0.4225039481243295,127.98670203126436,243.666,245623743.70159128,9072398.622411435,18.685070366043178,202693154.3709981,0.5949308979490397,0.7846170760989333
2016-9,7.494254260061276,0.4024664212978491,-3439.0590351732635,2.04589542394608,1.103150436494035,0.4218717050778418,197954574.5622867,7805395.160617684,0.418532365024963,127.02413187465936,243.666,245641067.65851367,9068771.100835357,18.68379200862342,202676147.44258752,0.5965359754061673,0.7845855442723069
2016-10,7.471751135529424,0.405117178149495,-3965.9673132275466,2.0672746138908056,1.1145072852531863,0.4224506608091278,198029142.34256163,7803700.203853191,0.4160254193180028,126.41033016044372,243.666,245658391.61543608,9065143.579259273,18.682513651203667,202659140.51417696,0.5989794099264474,0.7845540124456805
2016-11,7.449248010997572,0.3907469610472366,-2953.9693584836964,2.086506575082691,1.15568180602626,0.3923024529656499,198103710.1228366,7802005.247088698,0.4114160891944031,125.9332712505474,243.666,245675715.5723585,9061516.05768319,18.681235293783917,202642133.5857664,0.6010461355163091,0.7845224806190542
2016-12,7.4267448864657215,0.3851019690388544,-2879.5516234189686,2.094478154479812,1.0506184491036612,0.377390938464421,198178277.90311152,7800310.290324205,0.4077513114353103,125.04875597834793,230.8820000000001,245693039.52928084,9057888.536107108,18.67995693636416,202625126.65735584,0.6035409603047758,0.7844909487924278
2017-1,7.40424176193387,0.3803888051781477,-5075.622232112225,2.0938758344390687,0.7810959396630986,0.3569248836113066,198252845.68338645,7798615.333559711,0.4075350767989002,124.17360284291988,218.098,245710363.4862032,9054261.014531026,18.678678578944403,202608119.72894529,0.605656564792478,0.7844594169658013
2017-2,7.397627366441258,0.3762996326553245,-4201.060854040392,2.101650850838241,0.8250449919080073,0.3681934792243305,198326864.97537887,7796393.517478655,0.3978047684696698,123.50423019377266,196.675,245665684.20412907,9054522.618593955,18.677479603273536,202587037.18317804,0.6079977449373566,0.7843947155791786
2017-3,7.391012970948646,0.3800045315218657,-4604.7344280517855,2.113289173700002,0.8524307741146059,0.3837494708257729,198400884.26737133,7794171.701397599,0.3875997638487952,123.16450942746133,251.395,245621004.9220549,9054784.222656889,18.67628062760267,202565954.6374108,0.609957171904137,0.7843300141925559
2017-4,7.384398575456034,0.3821056011581457,-5041.93583143556,2.127631534792117,0.7995101208234832,0.4054428465788985,198474903.55936372,7791949.885316542,0.3886971443037969,122.4244020941952,199.081,245576325.6399808,9055045.82671982,18.6750816519318,202544872.09164363,0.611939630187631,0.7842653128059331
