, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Paraná - Desemprego,Paraná - value,Paraná - Produção de Cimento (t),Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado,Paraná - IDH,Paraná - Consumo de Cimento (t)
2012-11,0.4912755604377996,-8581.940757744464,2.249359243852222,0.8852303174292789,0.44717948920874,194215302.8215782,7830234.28190333,0.6005163471467005,6.921915016483837,0.4298115511676907,484.9698171328811,235142017.19781923,11246039.869595615,18.035622774779785,192261272.15689477,0.785248933127572,395.809
2012-12,0.4951952296466009,-8544.01174850321,2.257490310710041,0.6836336087568325,0.4479600832678483,194311012.75394467,7831744.1716926675,0.5956513693421339,6.966856925132627,0.4323348816332698,485.74233834121134,235484467.0366116,11236729.295469768,18.038021483536767,192326489.25765803,0.785334965160868,330.632
2013-1,0.5046931182782365,-8401.94723497529,2.2677230439962424,0.6001335188895731,0.4466402817276171,194406722.6863112,7833254.061482005,0.6113594968254873,7.011798833781418,0.4345732872660603,486.76737933506246,235826916.875404,11227418.721343923,18.040420192293745,192391706.35842136,0.7854209971941639,377.297
2013-2,0.5124255618774355,-7683.858924014924,2.2834910014644234,0.7074393944091001,0.44956565047477,194494304.85081053,7833744.844245157,0.6049217884945463,7.0493525288376,0.4365805964626295,488.74556441125264,236062439.64961684,11221203.194499478,18.0393894880585,192398827.6143245,0.7854447541191234,339.283
2013-3,0.5277338631085374,-7874.357530363,2.30250674180213,0.7231039597573724,0.4689655756860415,194581887.01530987,7834235.627008309,0.6055953327124688,7.086906223893783,0.4388652064501165,489.5284328693961,236297962.42382967,11214987.66765503,18.038358783823256,192405948.8702277,0.7854685110440829,353.113
2013-4,0.5336755979317418,-7983.55089917278,2.328894103495439,0.7189617973484183,0.4808492138370067,194669469.17980924,7834726.409771461,0.6049377101169569,7.124459918949966,0.4414146501213914,489.5983568484652,236533485.1980425,11208772.140810585,18.037328079588008,192413070.12613088,0.7854922679690424,417.807
2013-5,0.5388021137696795,-7615.094274633246,2.34263188987848,0.7142694802829325,0.4901839320084706,194757051.34430856,7835217.192534613,0.6092086325659531,7.162013614006148,0.4440177036955195,489.5389270261478,236769007.97225535,11202556.613966135,18.036297375352763,192420191.3820341,0.7855160248940019,390.998
2013-6,0.5488843980670126,-7352.877238643337,2.363408595693961,0.6063186036765393,0.4977501851159618,194844633.508808,7835707.975297765,0.6003939469641899,7.19956730906233,0.4462262660690876,488.5574417986556,237004530.74646825,11196341.087121692,18.03526667111752,192427312.63793725,0.7855397818189613,321.551
2013-7,0.5580294451821031,-7192.841626570655,2.393575578288626,0.6146829914853935,0.4941458500105189,194932215.6733073,7836198.758060917,0.588257252871006,7.237121004118514,0.4484650633529596,489.6859786326577,237240053.52068108,11190125.560277246,18.034235966882274,192434433.89384043,0.7855635387439208,410.332
2013-8,0.5639348917935356,-6960.548770036087,2.4314858886849344,0.7815049760427922,0.4993334599921049,195019797.83780667,7836689.54082407,0.590312709374934,7.274674699174696,0.4512358245635631,488.9784134041928,237475576.29489392,11183910.033432798,18.03320526264703,192441555.1497436,0.7855872956688802,428.494
