,Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado
2020-4,54748579.21945405,2478830.5141078904,12.386072014182695,44153167.16387659
2020-5,54667728.30494495,2479733.6637474624,12.387265176741703,44142265.64664859
2020-6,54586877.390435845,2480636.8133870345,12.388458339300712,44131364.1294206
2020-7,54506026.47592674,2481539.9630266065,12.38965150185972,44120462.6121926
2020-8,54425175.56141764,2482443.112666178,12.39084466441873,44109561.0949646
2020-9,54344324.64690854,2483346.26230575,12.392037826977738,44098659.57773661
2020-10,54263473.732399434,2484249.411945322,12.393230989536747,44087758.06050861
2020-11,54182622.81789034,2485152.561584894,12.394424152095757,44076856.54328061
2020-12,54101771.903381236,2486055.711224466,12.395617314654766,44065955.02605262
2021-1,54020920.98887213,2486958.860864038,12.396810477213775,44055053.50882462
2021-2,53922848.53442431,2488046.532825765,12.398147099273162,44041023.35910699
2021-3,53824776.07997649,2489134.204787492,12.39948372133255,44026993.20938936
2021-4,53726703.62552867,2490221.8767492184,12.400820343391938,44012963.05967173
2021-5,53628631.17108085,2491309.5487109455,12.402156965451326,43998932.9099541
2021-6,53530558.71663303,2492397.2206726726,12.403493587510713,43984902.76023647
2021-7,53432486.2621852,2493484.8926343992,12.4048302095701,43970872.61051884
2021-8,53334413.80773738,2494572.564596126,12.406166831629488,43956842.46080121
2021-9,53236341.35328956,2495660.236557853,12.407503453688875,43942812.31108358
2021-10,53138268.89884174,2496747.90851958,12.408840075748262,43928782.16136595
2021-11,53040196.44439392,2497835.5804813066,12.410176697807652,43914752.01164832
2021-12,52942123.9899461,2498923.2524430333,12.411513319867039,43900721.86193069
2022-1,52844051.53549828,2500010.9244047604,12.412849941926426,43886691.71221306
