,Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado
2012-9,19001124.122207496,1238730.090379326,10.665829393507089,22932714.425179645
2012-10,19034166.062809683,1236265.0028307133,10.667782846041613,22894504.30408749
2012-11,19067208.003411874,1233799.9152821007,10.669736298576135,22856294.182995334
2012-12,19100249.94401406,1231334.8277334883,10.671689751110659,22818084.06190318
2013-1,19133291.88461625,1228869.7401848757,10.673643203645181,22779873.940811023
2013-2,19160067.97851364,1229338.5469916412,10.676063806087527,22799319.808442887
2013-3,19186844.07241103,1229807.3537984064,10.678484408529874,22818765.67607475
2013-4,19213620.166308418,1230276.160605172,10.68090501097222,22838211.54370662
2013-5,19240396.26020581,1230744.9674119374,10.683325613414565,22857657.411338482
2013-6,19267172.3541032,1231213.7742187027,10.685746215856913,22877103.278970346
2013-7,19293948.448000588,1231682.5810254682,10.688166818299258,22896549.14660221
2013-8,19320724.54189798,1232151.3878322337,10.690587420741604,22915995.014234073
2013-9,19347500.63579537,1232620.194638999,10.693008023183951,22935440.881865937
2013-10,19374276.72969276,1233089.0014457644,10.695428625626297,22954886.7494978
2013-11,19401052.823590152,1233557.80825253,10.697849228068643,22974332.61712967
2013-12,19427828.91748754,1234026.6150592952,10.70026983051099,22993778.484761532
2014-1,19454605.01138493,1234495.4218660607,10.702690432953336,23013224.352393396
2014-2,19476341.101225294,1234898.9765063976,10.704861978193325,23032809.832057256
2014-3,19498077.19106566,1235302.5311467347,10.707033523433312,23052395.311721113
2014-4,19519813.280906025,1235706.0857870716,10.709205068673299,23071980.791384973
2014-5,19541549.37074639,1236109.6404274085,10.711376613913288,23091566.27104883
2014-6,19563285.460586753,1236513.1950677456,10.713548159153277,23111151.75071269
2014-7,19585021.550427116,1236916.7497080825,10.715719704393264,23130737.23037655
2014-8,19606757.640267484,1237320.3043484194,10.71789124963325,23150322.710040405
2014-9,19628493.730107848,1237723.8589887565,10.72006279487324,23169908.189704265
2014-10,19650229.81994821,1238127.4136290934,10.722234340113229,23189493.66936812
2014-11,19671965.90978858,1238530.9682694303,10.724405885353216,23209079.14903198
2014-12,19693701.999628942,1238934.5229097675,10.726577430593203,23228664.62869584
2015-1,19715438.089469306,1239338.0775501044,10.728748975833192,23248250.1083597
2015-2,19730151.19239813,1239965.0511718483,10.730213615761294,23267384.580457266
2015-3,19744864.295326956,1240592.0247935923,10.731678255689395,23286519.05255483
2015-4,19759577.39825578,1241218.9984153365,10.733142895617496,23305653.5246524
