,Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado
2017-6,31333817.648303706,1302189.0674077102,7.8486868420243505,24742881.780929137
2017-7,31328822.424216654,1302190.4046384234,7.848632518326411,24740377.851622064
2017-8,31323827.200129602,1302191.7418691365,7.848578194628473,24737873.92231499
2017-9,31318831.976042546,1302193.0790998496,7.848523870930534,24735369.99300792
2017-10,31313836.751955494,1302194.4163305627,7.848469547232595,24732866.063700847
2017-11,31308841.527868442,1302195.7535612758,7.848415223534657,24730362.134393774
2017-12,31303846.303781386,1302197.090791989,7.848360899836718,24727858.205086704
2018-1,31298851.079694334,1302198.428022702,7.8483065761387785,24725354.27577963
2018-2,31285814.95279787,1302558.2479552703,7.8478541841867715,24723301.686086535
2018-3,31272778.82590141,1302918.0678878387,7.847401792234764,24721249.096393436
2018-4,31259742.69900495,1303277.8878204068,7.846949400282757,24719196.506700337
2018-5,31246706.57210849,1303637.7077529752,7.846497008330749,24717143.91700724
2018-6,31233670.445212025,1303997.5276855435,7.846044616378742,24715091.327314146
2018-7,31220634.318315566,1304357.3476181119,7.845592224426735,24713038.737621047
2018-8,31207598.191419102,1304717.1675506802,7.845139832474727,24710986.147927947
2018-9,31194562.06452264,1305076.9874832486,7.84468744052272,24708933.55823485
2018-10,31181525.93762618,1305436.807415817,7.844235048570712,24706880.968541756
2018-11,31168489.810729716,1305796.627348385,7.843782656618705,24704828.378848657
2018-12,31155453.683833256,1306156.4472809534,7.843330264666697,24702775.789155558
2019-1,31142417.556936793,1306516.2672135218,7.84287787271469,24700723.199462462
2019-2,31110689.002702218,1307217.6773589598,7.8411464355973015,24693702.518899146
2019-3,31078960.448467646,1307919.0875043976,7.839414998479913,24686681.838335827
2019-4,31047231.89423307,1308620.4976498357,7.837683561362523,24679661.15777251
2019-5,31015503.3399985,1309321.9077952737,7.835952124245134,24672640.477209195
2019-6,30983774.785763923,1310023.3179407115,7.834220687127745,24665619.79664588
2019-7,30952046.231529348,1310724.7280861496,7.832489250010356,24658599.116082564
2019-8,30920317.677294776,1311426.1382315876,7.830757812892967,24651578.435519245
2019-9,30888589.1230602,1312127.5483770254,7.8290263757755785,24644557.75495593
2019-10,30856860.56882563,1312828.9585224635,7.82729493865819,24637537.074392613
2019-11,30825132.014591053,1313530.3686679015,7.8255635015408,24630516.393829294
2019-12,30793403.46035648,1314231.7788133393,7.823832064423411,24623495.713265978
2020-1,30761674.906121906,1314933.1889587773,7.822100627306022,24616475.032702662
2020-2,30708441.986329768,1315186.3027377767,7.819595415742369,24606288.625445858
2020-3,30655209.066537634,1315439.4165167762,7.817090204178716,24596102.218189053
2020-4,30601976.146745495,1315692.5302957755,7.814584992615063,24585915.810932245
2020-5,30548743.22695336,1315945.644074775,7.81207978105141,24575729.40367544
2020-6,30495510.307161223,1316198.7578537744,7.809574569487757,24565542.996418636
2020-7,30442277.38736909,1316451.871632774,7.807069357924104,24555356.58916183
2020-8,30389044.46757695,1316704.9854117732,7.804564146360451,24545170.181905024
2020-9,30335811.547784813,1316958.0991907725,7.802058934796798,24534983.77464822
2020-10,30282578.62799268,1317211.212969772,7.799553723233145,24524797.367391415
2020-11,30229345.70820054,1317464.3267487714,7.797048511669492,24514610.96013461
2020-12,30176112.788408406,1317717.440527771,7.794543300105839,24504424.552877802
