,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado
2016-8,1213632380.6153948,46402210.70812164,23.915583545280743,1001085752.1063327
2016-9,1213748557.0081148,46386842.886367254,23.9146133767827,1001054408.8382471
2016-10,1213864733.4008346,46371475.06461287,23.913643208284658,1001023065.5701613
2016-11,1213980909.7935545,46356107.242858484,23.912673039786615,1000991722.3020757
2016-12,1214097086.1862745,46340739.4211041,23.911702871288572,1000960379.0339901
2017-1,1214213262.5789945,46325371.599349715,23.91073270279053,1000929035.7659045
2017-2,1214009356.2521255,46322448.982889645,23.910013938593178,1000864195.9016929
2017-3,1213805449.9252565,46319526.36642958,23.909295174395822,1000799356.0374813
2017-4,1213601543.5983875,46316603.74996951,23.90857641019847,1000734516.1732697
2017-5,1213397637.2715185,46313681.13350945,23.90785764600112,1000669676.3090581
2017-6,1213193730.9446495,46310758.51704938,23.907138881803764,1000604836.4448464
2017-7,1212989824.6177804,46307835.90058932,23.906420117606412,1000539996.5806348
2017-8,1212785918.2909114,46304913.28412925,23.90570135340906,1000475156.7164233
2017-9,1212582011.9640424,46301990.66766918,23.904982589211706,1000410316.8522116
2017-10,1212378105.6371734,46299068.051209114,23.904263825014354,1000345476.9879999
2017-11,1212174199.3103044,46296145.434749044,23.903545060817002,1000280637.1237884
2017-12,1211970292.9834354,46293222.81828898,23.902826296619647,1000215797.2595768
2018-1,1211766386.6565664,46290300.20182891,23.902107532422296,1000150957.3953651
2018-2,1211182286.4383907,46296016.7649685,23.901588316149105,1000074747.9866847
2018-3,1210598186.2202153,46301733.32810809,23.901069099875915,999998538.5780044
2018-4,1210014086.0020397,46307449.891247675,23.90054988360273,999922329.1693239
2018-5,1209429985.7838643,46313166.45438726,23.90003066732954,999846119.7606435
2018-6,1208845885.5656886,46318883.01752685,23.899511451056348,999769910.351963
2018-7,1208261785.3475132,46324599.58066644,23.898992234783158,999693700.9432826
2018-8,1207677685.1293375,46330316.14380602,23.898473018509968,999617491.5346023
2018-9,1207093584.911162,46336032.706945606,23.897953802236778,999541282.1259218
2018-10,1206509484.6929865,46341749.27008519,23.897434585963587,999465072.7172414
2018-11,1205925384.4748108,46347465.83322478,23.8969153696904,999388863.3085611
2018-12,1205341284.2566354,46353182.39636437,23.89639615341721,999312653.8998806
2019-1,1204757184.0384598,46358898.959503956,23.89587693714402,999236444.4912002
2019-2,1203566381.9181533,46375168.60678428,23.89408319898502,999047334.557318
2019-3,1202375579.797847,46391438.25406459,23.892289460826017,998858224.6234356
2019-4,1201184777.6775405,46407707.90134491,23.890495722667012,998669114.6895534
2019-5,1199993975.5572343,46423977.54862523,23.88870198450801,998480004.7556711
2019-6,1198803173.4369278,46440247.195905544,23.88690824634901,998290894.8217888
2019-7,1197612371.3166213,46456516.843185864,23.885114508190007,998101784.8879066
2019-8,1196421569.196315,46472786.490466185,23.883320770031006,997912674.9540243
2019-9,1195230767.0760086,46489056.1377465,23.881527031872004,997723565.020142
2019-10,1194039964.9557023,46505325.78502682,23.879733293713002,997534455.0862597
2019-11,1192849162.8353958,46521595.43230714,23.877939555553997,997345345.1523775
2019-12,1191658360.7150896,46537865.07958745,23.876145817394995,997156235.2184951
2020-1,1190467558.594783,46554134.72686777,23.874352079235994,996967125.2846129
2020-2,1188856683.0181794,46576052.97000021,23.87675938496673,996885059.9695445
2020-3,1187245807.441576,46597971.213132635,23.879166690697463,996802994.6544762
2020-4,1185634931.8649724,46619889.45626507,23.881573996428198,996720929.3394078
2020-5,1184024056.288369,46641807.6993975,23.883981302158933,996638864.0243394
2020-6,1182413180.7117653,46663725.94252993,23.886388607889668,996556798.7092711
2020-7,1180802305.1351619,46685644.18566236,23.888795913620402,996474733.3942027
2020-8,1179191429.5585582,46707562.428794794,23.891203219351137,996392668.0791345
2020-9,1177580553.9819546,46729480.67192723,23.893610525081872,996310602.7640661
2020-10,1175969678.4053512,46751398.915059656,23.896017830812607,996228537.4489977
2020-11,1174358802.8287475,46773317.15819209,23.89842513654334,996146472.1339294
2020-12,1172747927.252144,46795235.40132452,23.900832442274076,996064406.818861
2021-1,1171137051.6755404,46817153.64445695,23.90323974800481,995982341.5037926
2021-2,1169179093.8950503,46843575.02262204,23.90602354551716,995870634.3775254
2021-3,1167221136.1145601,46869996.40078712,23.908807343029512,995758927.2512583
2021-4,1165263178.33407,46896417.77895221,23.911591140541866,995647220.1249909
2021-5,1163305220.5535798,46922839.1571173,23.914374938054216,995535512.9987237
2021-6,1161347262.7730896,46949260.53528238,23.917158735566566,995423805.8724566
2021-7,1159389304.9925995,46975681.91344747,23.919942533078917,995312098.7461894
2021-8,1157431347.2121093,47002103.29161256,23.922726330591267,995200391.6199222
2021-9,1155473389.4316192,47028524.66977764,23.925510128103618,995088684.493655
2021-10,1153515431.651129,47054946.04794273,23.928293925615968,994976977.3673878
2021-11,1151557473.8706388,47081367.42610782,23.931077723128322,994865270.2411205
2021-12,1149599516.0901487,47107788.8042729,23.933861520640672,994753563.1148533
2022-1,1147641558.3096585,47134210.182437986,23.936645318153023,994641855.9885861
