,Sergipe - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Sergipe - value,Sergipe - Produção de Cimento (t),Sergipe - Consumo de Cimento (t),Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado,Sergipe - Desemprego
2008-8,0.6859718858682509,0.3911930100262941,-7330.909560613458,2.746140251198851,0.9463193773473402,0.377094781251677,188132118.82802805,7678574.036758362,0.5717904557609863,0.3627759374885191,225.4863238448817,32.745,22804691.217224997,1306047.796068073,9.97628434074015,20437271.10406978,8.16905043585848
2008-9,0.6861370655236192,0.393954511741958,-7785.307445305803,2.665912474404139,1.072336807943622,0.4025579714905743,188273702.2816972,7682973.985945245,0.5509061927111456,0.3639144967490516,225.3646948474193,35.907,22812157.72817837,1306270.5530269295,9.973513198041534,20432790.915344317,8.17159629594938
2008-10,0.6863022451789875,0.4032616547632046,-7703.954458964581,2.598260780235978,1.0137661057737235,0.412023328025164,188415285.7353664,7687373.935132128,0.5338333005653052,0.3648774898038581,225.9200524359119,36.448,22819624.23913175,1306493.309985786,9.970742055342916,20428310.726618845,8.17414215604028
2008-11,0.6864674248343559,0.4104528122004031,-7476.287871104045,2.5386157863332808,1.0949575949903168,0.4176314374021105,188556869.1890356,7691773.884319011,0.5233099682890817,0.3652365819536277,226.85841154995816,34.966,22827090.750085123,1306716.0669446425,9.9679709126443,20423830.537893377,8.176688016131177
2008-12,0.6866326044897242,0.4155686208661097,-7673.72643892393,2.504755709594416,1.1610813401906588,0.4199544942195133,188698452.64270467,7696173.833505894,0.524103085853287,0.3655913941450558,228.22669858280125,36.485,22834557.2610385,1306938.823903499,9.96519976994568,20419350.34916791,8.179233876222076
2009-1,0.6867977841450925,0.4265478197554145,-8468.75016667358,2.46038988184506,0.7012005668165715,0.4453642148556728,188840036.09637383,7700573.782692777,0.5263722830788128,0.3661454988832955,229.3305435566448,33.959,22842023.77199188,1307161.5808623554,9.962428627247064,20414870.16044244,8.181779736312976
2009-2,0.6869330584424288,0.4330860958676656,-8362.130172448553,2.419211323171128,0.7911392802955751,0.4617677479747263,188999683.0050093,7704524.6839363,0.5227829360821162,0.3666984176468991,230.1972785707607,31.184,22886639.149126127,1307905.930532531,9.963221086440448,20424022.137026887,8.178756283971456
2009-3,0.6870683327397651,0.4381030668091561,-8556.283355305572,2.384914975903917,0.6947273574987124,0.4744121661088831,189159329.91364485,7708475.585179822,0.5234789989371754,0.3672496235121215,231.2198821083462,34.535,22931254.526260376,1308650.280202707,9.964013545633833,20433174.113611333,8.175732831629938
2009-4,0.6872036070371014,0.45007711682254,-8805.162211693303,2.3630365952461503,0.6925605788455927,0.4999622144350261,189318976.8222804,7712426.486423344,0.5478423802413089,0.368002714315401,231.9910385022136,32.504,22975869.903394625,1309394.629872883,9.964806004827214,20442326.09019577,8.172709379288419
2009-5,0.6873388813344377,0.450431778065969,-8667.302626906909,2.3525692667827225,0.8262641115749951,0.4981088282193594,189478623.73091587,7716377.387666867,0.6069054336378797,0.3693736612234665,233.8822044135202,26.627,23020485.280528877,1310138.979543059,9.965598464020596,20451478.06678022,8.169685926946899
2009-6,0.6874741556317739,0.4443889715056729,-8866.763268778828,2.338774353162325,0.8459717013893588,0.4904351794060748,189638270.6395514,7720328.288910389,0.5851435517618442,0.3711705709527343,234.87500400982185,29.991,23065100.65766312,1310883.3292132346,9.96639092321398,20460630.043364663,8.166662474605381
2009-7,0.6876094299291102,0.4406435988198508,-9104.309037125651,2.304832376935664,1.0287709072004996,0.4945814397751699,189797917.5481869,7724279.190153912,0.5788217871313215,0.3729935247744236,236.54642845706252,34.055,23109716.03479737,1311627.6788834103,9.967183382407365,20469782.01994911,8.163639022263862
